Tanggal,Terakhir,Pembukaan,Tertinggi,Terendah,Vol.,Perubahan%
16/03/2021,"12,850","13,930","13,930","12,510","1,05M","-6,41%"
17/03/2021,"12,850","12,500","13,380","12,500","457,04K","0,00%"
18/03/2021,"12,950","12,830","13,371","12,760","434,53K","0,78%"
19/03/2021,"12,990","13,060","13,140","12,840","359,45K","0,31%"
22/03/2021,"13,500","13,000","13,900","12,941","522,77K","3,93%"
23/03/2021,"12,450","13,420","13,420","12,420","456,63K","-7,78%"
24/03/2021,"11,580","12,650","12,930","11,500","538,85K","-6,99%"
25/03/2021,"12,050","11,500","12,250","11,000","716,28K","4,06%"
26/03/2021,"11,670","12,000","12,000","11,400","340,19K","-3,15%"
29/03/2021,"11,640","11,900","11,980","11,260","262,98K","-0,26%"
30/03/2021,"11,350","11,500","11,590","11,200","231,46K","-2,49%"
31/03/2021,"11,700","11,520","11,890","11,500","137,99K","3,08%"
1/4/2021,"11,950","12,000","12,190","11,700","156,78K","2,14%"
5/4/2021,"12,170","12,060","12,410","11,950","244,97K","1,84%"
6/4/2021,"12,700","12,240","13,050","12,240","385,08K","4,35%"
7/4/2021,"13,130","13,991","14,140","12,710","5,38M","3,39%"
8/4/2021,"14,100","13,600","14,220","13,400","1,14M","7,39%"
9/4/2021,"13,750","14,090","14,390","13,420","1,70M","-2,48%"
12/4/2021,"13,950","14,440","14,450","13,800","1,06M","1,45%"
13/04/2021,"15,330","14,530","15,980","12,800","29,22M","9,89%"
14/04/2021,"14,400","15,215","15,330","13,750","6,14M","-6,07%"
15/04/2021,"13,510","14,469","14,650","13,010","4,57M","-6,18%"
16/04/2021,"12,520","13,270","13,600","12,500","6,63M","-7,33%"
19/04/2021,"13,160","12,970","13,290","12,665","2,94M","5,11%"
20/04/2021,"12,720","13,360","13,680","12,650","3,31M","-3,34%"
21/04/2021,"12,720","12,790","13,000","12,700","2,10M","0,00%"
22/04/2021,"12,700","12,870","13,040","12,650","1,51M","-0,16%"
23/04/2021,"13,060","12,800","13,240","12,530","1,68M","2,83%"
26/04/2021,"13,630","13,041","13,800","13,041","1,53M","4,36%"
27/04/2021,"13,710","13,750","13,950","13,540","1,44M","0,59%"
28/04/2021,"13,370","13,700","13,820","13,260","1,01M","-2,48%"
29/04/2021,"12,990","13,550","13,582","12,800","1,63M","-2,84%"
30/04/2021,"13,310","12,800","13,340","12,800","1,62M","2,46%"
3/5/2021,"13,010","13,420","13,420","12,760","2,32M","-2,25%"
4/5/2021,"13,000","12,800","13,470","12,370","2,16M","-0,08%"
5/5/2021,"12,420","13,100","13,120","12,410","884,22K","-4,46%"
6/5/2021,"11,840","12,460","12,550","11,310","3,20M","-4,67%"
7/5/2021,"11,670","11,900","12,100","11,520","1,66M","-1,44%"
10/5/2021,"11,710","11,700","11,990","11,500","704,22K","0,34%"
11/5/2021,"12,420","11,280","12,590","11,170","1,76M","6,06%"
12/5/2021,"11,500","12,230","12,280","11,450","1,63M","-7,41%"
13/05/2021,"11,060","11,480","11,610","11,000","1,21M","-3,83%"
14/05/2021,"11,500","11,300","11,620","11,210","1,30M","3,98%"
17/05/2021,"11,320","11,650","11,654","11,260","938,95K","-1,57%"
18/05/2021,"11,410","11,400","11,615","11,250","618,78K","0,80%"
19/05/2021,"11,260","11,100","11,280","11,000","1,10M","-1,31%"
20/05/2021,"11,460","11,350","11,530","11,206","474,62K","1,78%"
21/05/2021,"11,350","11,560","11,590","11,140","549,12K","-0,96%"
24/05/2021,"11,370","11,530","11,530","11,320","272,03K","0,18%"
25/05/2021,"11,450","11,500","11,570","11,390","657,62K","0,70%"
26/05/2021,"11,640","11,587","11,800","11,450","863,34K","1,66%"
27/05/2021,"11,880","11,710","12,100","11,680","977,80K","2,06%"
28/05/2021,"11,790","11,950","12,070","11,730","458,59K","-0,76%"
1/6/2021,"11,730","11,990","12,150","11,710","371,41K","-0,51%"
2/6/2021,"11,730","11,920","12,030","11,620","461,78K","0,00%"
3/6/2021,"11,400","11,700","11,900","11,330","738,24K","-2,81%"
4/6/2021,"11,380","11,600","11,709","11,350","517,45K","-0,18%"
7/6/2021,"11,890","11,650","11,950","11,480","445,46K","4,48%"
8/6/2021,"11,850","12,000","12,050","11,750","536,55K","-0,34%"
9/6/2021,"11,520","11,800","11,840","11,500","899,93K","-2,78%"
10/6/2021,"11,660","11,600","11,770","11,365","448,45K","1,22%"
11/6/2021,"11,740","11,670","11,890","11,540","646,82K","0,69%"
14/06/2021,"11,550","11,840","11,840","11,500","388,79K","-1,62%"
15/06/2021,"11,550","11,550","11,634","11,280","401,46K","0,00%"
16/06/2021,"11,800","11,470","11,810","11,410","438,76K","2,16%"
17/06/2021,"11,750","11,700","11,750","11,630","208,78K","-0,42%"
18/06/2021,"11,760","11,670","11,770","11,570","290,66K","0,09%"
21/06/2021,"11,800","11,750","11,830","11,650","418,77K","0,34%"
22/06/2021,"11,670","11,820","11,820","11,600","349,62K","-1,10%"
23/06/2021,"11,710","11,670","11,770","11,600","271,70K","0,34%"
24/06/2021,"11,750","11,850","11,860","11,750","370,41K","0,34%"
25/06/2021,"11,750","11,800","11,830","11,710","221,35K","0,00%"
28/06/2021,"11,840","11,750","11,850","11,720","294,10K","0,77%"
29/06/2021,"11,750","11,800","11,800","11,720","257,64K","-0,76%"
30/06/2021,"11,700","11,750","11,750","11,660","359,07K","-0,43%"
1/7/2021,"11,640","11,700","11,770","11,600","223,85K","-0,51%"
2/7/2021,"11,400","11,640","11,669","11,350","328,08K","-2,06%"
6/7/2021,"11,160","11,380","11,400","11,140","549,98K","-2,11%"
7/7/2021,"11,090","11,190","11,290","11,050","402,44K","-0,63%"
8/7/2021,"11,170","11,000","11,310","10,930","464,26K","0,72%"
9/7/2021,"11,340","11,290","11,350","11,154","257,26K","1,52%"
12/7/2021,"11,280","11,120","11,350","11,110","219,78K","-0,53%"
13/07/2021,"11,200","11,230","11,465","11,080","380,73K","-0,71%"
14/07/2021,"11,420","11,200","11,515","11,180","678,12K","1,96%"
15/07/2021,"11,000","11,450","11,450","11,000","859,05K","-3,68%"
16/07/2021,"10,730","11,050","11,090","10,560","804,27K","-2,45%"
19/07/2021,"10,850","10,580","10,920","10,410","507,48K","1,12%"
20/07/2021,"10,840","10,900","11,000","10,710","317,74K","-0,09%"
21/07/2021,"10,870","10,850","10,954","10,850","121,73K","0,28%"
22/07/2021,"10,870","11,000","11,015","10,800","225,97K","0,00%"
23/07/2021,"10,670","10,900","10,901","10,650","365,65K","-1,84%"
26/07/2021,"11,010","10,610","11,030","10,550","348,47K","3,19%"
27/07/2021,"10,650","10,920","11,050","10,610","424,44K","-3,27%"
28/07/2021,"10,740","10,810","10,810","10,660","160,59K","0,85%"
29/07/2021,"10,660","10,750","10,800","10,620","314,54K","-0,74%"
30/07/2021,"10,680","10,640","10,700","10,580","205,18K","0,19%"
2/8/2021,"10,860","10,890","10,960","10,820","267,86K","1,69%"
3/8/2021,"10,820","11,120","11,160","10,710","284,55K","-0,37%"
4/8/2021,"10,700","10,919","10,930","10,660","382,61K","-1,11%"
5/8/2021,"10,710","10,740","10,770","10,660","523,27K","0,09%"
6/8/2021,"10,840","10,710","11,030","10,660","521,09K","1,21%"
9/8/2021,"10,710","10,920","10,930","10,670","242,90K","-1,20%"
10/8/2021,"10,520","10,730","10,754","10,500","510,79K","-1,77%"
11/8/2021,"10,560","10,650","10,650","10,500","944,62K","0,38%"
12/8/2021,"10,520","10,572","10,600","10,500","377,54K","-0,38%"
13/08/2021,"10,510","10,540","10,600","10,450","179,69K","-0,10%"
16/08/2021,"10,380","10,545","10,545","10,340","324,50K","-1,24%"
17/08/2021,"10,440","10,290","10,440","10,217","361,65K","0,58%"
18/08/2021,"10,540","10,410","10,580","10,390","255,79K","0,96%"
19/08/2021,"10,560","10,320","10,600","10,310","522,71K","0,19%"
20/08/2021,"10,310","10,550","10,600","10,270","514,62K","-2,37%"
23/08/2021,"10,260","10,310","10,390","10,230","950,93K","-0,48%"
24/08/2021,"10,260","10,300","10,420","10,250","686,32K","0,00%"
25/08/2021,"10,340","10,280","10,420","10,260","531,05K","0,78%"
26/08/2021,"10,410","10,350","10,490","10,275","487,66K","0,68%"
27/08/2021,"10,530","10,410","10,600","10,330","187,57K","1,15%"
30/08/2021,"10,490","10,600","11,740","10,350","1,28M","-0,38%"
31/08/2021,"10,750","10,850","10,880","10,665","421,32K","2,48%"
1/9/2021,"10,690","10,800","10,800","10,660","284,49K","-0,56%"
2/9/2021,"10,690","10,700","10,780","10,640","383,40K","0,00%"
3/9/2021,"10,640","10,730","10,940","10,620","282,62K","-0,47%"
7/9/2021,"10,720","10,750","10,805","10,610","425,02K","0,75%"
8/9/2021,"10,740","10,700","10,930","10,660","787,99K","0,19%"
9/9/2021,"10,750","10,700","10,780","10,640","257,61K","0,09%"
10/9/2021,"10,750","10,750","10,800","10,700","258,74K","0,00%"
13/09/2021,"10,590","10,810","10,990","10,560","601,55K","-1,49%"
14/09/2021,"10,230","10,720","10,800","10,190","1,73M","-3,40%"
15/09/2021,"10,240","10,280","10,420","10,210","1,10M","0,10%"
16/09/2021,"10,630","10,310","11,120","10,260","1,72M","3,81%"
17/09/2021,"10,450","10,558","10,656","10,350","756,53K","-1,69%"
20/09/2021,"10,260","10,300","10,360","10,200","1,13M","-1,82%"
21/09/2021,"10,220","10,260","10,328","10,180","1,25M","-0,39%"
22/09/2021,"10,200","10,230","10,260","10,190","1,17M","-0,20%"
23/09/2021,"10,200","10,230","10,250","10,200","995,02K","0,00%"
24/09/2021,"10,270","10,220","10,330","10,190","1,67M","0,69%"
27/09/2021,"10,240","10,270","10,320","10,210","1,04M","-0,29%"
28/09/2021,"10,240","10,240","10,440","10,210","922,90K","0,00%"
29/09/2021,"10,230","10,270","10,280","10,200","562,46K","-0,10%"
30/09/2021,"10,220","10,250","10,260","10,210","294,77K","-0,10%"
1/10/2021,"10,310","10,270","10,350","10,210","1,29M","0,88%"
4/10/2021,"10,180","10,340","10,340","10,180","782,34K","-1,26%"
5/10/2021,"10,160","10,180","10,250","10,130","1,50M","-0,20%"
6/10/2021,"10,110","10,157","10,180","10,080","616,15K","-0,49%"
7/10/2021,"10,090","10,150","10,150","10,090","744,19K","-0,20%"
8/10/2021,"10,090","10,100","10,150","10,040","592,85K","0,00%"
11/10/2021,"10,100","10,100","10,130","10,050","383,64K","0,10%"
12/10/2021,"10,080","10,080","10,110","10,070","567,85K","-0,20%"
13/10/2021,"10,090","10,130","10,130","10,080","455,99K","0,10%"
14/10/2021,"10,540","10,118","10,780","10,070","12,97M","4,46%"
15/10/2021,"10,950","10,650","11,230","10,570","7,72M","3,89%"
18/10/2021,"10,680","10,780","10,940","10,520","2,79M","-2,47%"
19/10/2021,"10,410","10,700","10,850","10,400","2,81M","-2,53%"
20/10/2021,"10,170","10,430","10,440","10,130","2,77M","-2,31%"
21/10/2021,"10,870","10,200","11,480","10,150","9,39M","6,88%"
22/10/2021,"11,000","11,930","12,000","10,750","11,81M","1,20%"
25/10/2021,"12,800","11,100","13,030","11,010","10,37M","16,36%"
26/10/2021,"12,920","13,800","14,430","12,020","18,23M","0,94%"
27/10/2021,"13,240","12,610","13,380","11,810","7,13M","2,48%"
28/10/2021,"12,430","13,200","13,200","12,010","3,39M","-6,12%"
29/10/2021,"12,590","12,320","12,640","11,900","2,15M","1,29%"
1/11/2021,"12,180","12,510","12,890","12,040","2,26M","-3,26%"
2/11/2021,"12,000","12,120","12,200","11,290","2,52M","-1,48%"
3/11/2021,"11,680","11,750","11,980","11,650","1,02M","-2,67%"
4/11/2021,"11,830","11,770","12,716","11,770","1,75M","1,28%"
5/11/2021,"11,930","11,950","12,380","11,830","930,51K","0,85%"
8/11/2021,"12,260","12,030","12,473","11,900","931,44K","2,77%"
9/11/2021,"15,600","12,350","16,640","12,350","44,67M","27,24%"
10/11/2021,"15,160","14,840","15,450","13,510","7,92M","-2,82%"
11/11/2021,"17,060","13,924","17,060","13,050","8,65M","12,53%"
12/11/2021,"16,370","16,910","17,150","15,220","8,10M","-4,04%"
15/11/2021,"14,930","15,560","16,325","14,820","4,23M","-8,80%"
16/11/2021,"15,080","14,570","15,220","13,560","3,69M","1,00%"
17/11/2021,"13,640","14,770","14,770","13,600","2,75M","-9,55%"
18/11/2021,"13,700","13,867","14,453","13,150","2,54M","0,44%"
19/11/2021,"14,000","13,590","14,930","13,510","3,62M","2,19%"
22/11/2021,"14,040","14,830","14,950","13,700","3,14M","0,29%"
23/11/2021,"13,740","14,000","14,620","13,010","2,17M","-2,14%"
24/11/2021,"13,430","13,820","14,350","13,150","3,05M","-2,26%"
26/11/2021,"13,250","13,139","13,580","12,630","1,92M","-1,34%"
29/11/2021,"13,500","13,800","14,000","13,200","2,97M","1,89%"
30/11/2021,"12,720","13,560","14,100","12,664","3,82M","-5,78%"
1/12/2021,"11,010","13,595","13,630","11,010","9,01M","-13,44%"
2/12/2021,"8,750","13,055","13,290","8,130","35,75M","-20,53%"
3/12/2021,"8,990","9,160","9,520","8,450","29,67M","2,74%"
6/12/2021,"9,000","8,950","9,100","8,230","25,32M","0,11%"
7/12/2021,"8,850","9,055","9,060","8,320","25,73M","-1,67%"
8/12/2021,"8,890","8,670","8,990","8,550","26,07M","0,45%"
9/12/2021,"8,080","8,614","8,614","7,600","36,00M","-9,11%"
10/12/2021,"7,120","7,980","7,980","6,930","39,57M","-11,88%"
13/12/2021,"7,170","6,885","7,280","6,850","16,66M","0,70%"
14/12/2021,"6,790","7,060","7,080","5,910","32,71M","-5,30%"
15/12/2021,"7,140","6,820","7,170","6,750","26,37M","5,15%"
16/12/2021,"7,250","7,198","7,570","7,150","21,03M","1,54%"
17/12/2021,"7,570","7,040","7,640","6,910","21,85M","4,41%"
20/12/2021,"7,300","7,210","7,320","6,970","9,57M","-3,57%"
21/12/2021,"7,300","7,350","7,440","7,110","5,53M","0,00%"
22/12/2021,"7,340","7,250","7,360","7,200","4,34M","0,55%"
23/12/2021,"7,350","7,320","7,380","7,260","13,38M","0,14%"
27/12/2021,"7,090","7,520","7,530","7,030","11,80M","-3,54%"
28/12/2021,"6,980","7,100","7,230","6,880","13,88M","-1,55%"
29/12/2021,"6,960","6,980","7,010","6,620","7,26M","-0,29%"
30/12/2021,"7,150","6,800","7,260","6,790","7,29M","2,73%"
31/12/2021,"7,130","7,020","7,300","6,980","8,81M","-0,28%"
3/1/2022,"7,220","7,130","7,250","7,105","4,68M","1,26%"
4/1/2022,"7,290","7,260","7,330","7,190","5,86M","0,97%"
5/1/2022,"6,900","7,250","7,270","6,710","30,49M","-5,35%"
6/1/2022,"6,650","6,640","6,780","6,440","18,58M","-3,62%"
7/1/2022,"6,810","6,650","6,840","6,520","20,81M","2,41%"
10/1/2022,"6,600","6,660","6,700","6,173","25,13M","-3,08%"
11/1/2022,"6,540","6,590","6,810","6,220","32,20M","-0,91%"
12/1/2022,"6,250","6,570","6,600","6,170","12,26M","-4,43%"
13/01/2022,"6,110","6,240","6,260","5,980","23,92M","-2,24%"
14/01/2022,"6,040","5,980","6,060","5,810","14,43M","-1,15%"
18/01/2022,"5,540","5,860","5,890","5,400","37,35M","-8,28%"
19/01/2022,"5,650","5,650","5,940","5,510","15,73M","1,99%"
20/01/2022,"5,940","5,730","5,970","5,710","19,17M","5,13%"
21/01/2022,"5,600","5,730","5,800","5,495","41,27M","-5,72%"
24/01/2022,"5,560","5,390","5,590","5,170","26,70M","-0,71%"
25/01/2022,"5,820","5,440","6,010","5,370","23,56M","4,68%"
26/01/2022,"5,940","5,940","6,260","5,800","49,72M","2,06%"
27/01/2022,"5,710","5,990","6,025","5,550","35,92M","-3,87%"
28/01/2022,"5,510","5,670","5,690","5,210","34,81M","-3,50%"
31/01/2022,"5,660","5,460","5,920","5,350","15,23M","2,72%"
1/2/2022,"5,700","5,670","5,890","5,610","8,85M","0,71%"
2/2/2022,"5,480","5,700","5,762","5,390","7,87M","-3,86%"
3/2/2022,"4,980","5,470","5,500","4,960","14,86M","-9,12%"
4/2/2022,"5,320","5,080","5,400","4,950","16,12M","6,83%"
7/2/2022,"5,340","5,380","5,490","5,270","8,74M","0,38%"
8/2/2022,"5,210","5,300","5,300","5,100","6,86M","-2,43%"
9/2/2022,"5,550","5,260","5,580","5,200","8,18M","6,53%"
10/2/2022,"6,350","5,860","6,610","5,810","60,35M","14,41%"
11/2/2022,"5,890","6,130","6,310","5,760","25,10M","-7,24%"
14/02/2022,"5,920","5,820","6,130","5,770","21,79M","0,51%"
15/02/2022,"6,000","6,005","6,230","5,890","18,12M","1,35%"
16/02/2022,"6,040","6,000","6,080","5,940","14,94M","0,67%"
17/02/2022,"5,810","5,994","6,055","5,745","12,36M","-3,81%"
18/02/2022,"5,520","5,790","5,790","5,400","16,56M","-4,99%"
22/02/2022,"5,170","5,380","5,480","4,960","27,05M","-6,34%"
23/02/2022,"5,300","5,190","5,420","5,130","25,39M","2,51%"
24/02/2022,"5,500","4,830","5,520","4,830","31,36M","3,77%"
25/02/2022,"5,800","5,360","5,860","5,350","25,19M","5,45%"
28/02/2022,"5,760","5,855","6,030","5,610","178,78M","-0,69%"
1/3/2022,"5,520","5,620","5,680","5,400","14,05M","-4,17%"
2/3/2022,"5,230","5,450","5,530","5,080","17,71M","-5,25%"
3/3/2022,"3,280","4,840","4,840","3,090","115,61M","-37,28%"
4/3/2022,"3,360","3,590","4,180","3,265","85,87M","2,44%"
7/3/2022,"3,360","3,310","3,630","3,300","25,88M","0,00%"
8/3/2022,"3,240","3,340","3,415","3,110","27,51M","-3,57%"
9/3/2022,"3,140","3,350","3,360","3,060","27,87M","-3,09%"
10/3/2022,"3,290","3,165","3,400","2,980","21,71M","4,78%"
11/3/2022,"3,140","3,265","3,270","2,995","19,41M","-4,56%"
14/03/2022,"3,020","3,060","3,280","2,970","23,90M","-3,82%"
15/03/2022,"3,030","3,030","3,340","2,950","29,47M","0,33%"
16/03/2022,"3,530","3,170","3,720","3,160","35,73M","16,50%"
17/03/2022,"3,780","3,480","3,800","3,435","15,27M","7,08%"
18/03/2022,"4,100","3,740","4,130","3,640","24,11M","8,47%"
21/03/2022,"3,870","4,020","4,080","3,780","12,82M","-5,61%"
22/03/2022,"3,750","4,020","4,020","3,700","13,16M","-3,10%"
23/03/2022,"3,710","3,760","3,790","3,580","9,55M","-1,07%"
24/03/2022,"3,630","3,790","3,800","3,530","15,18M","-2,16%"
25/03/2022,"3,300","3,620","3,655","3,285","15,62M","-9,09%"
28/03/2022,"3,440","3,410","3,520","3,340","15,35M","4,24%"
29/03/2022,"3,910","3,575","3,950","3,570","24,93M","13,66%"
30/03/2022,"3,550","3,880","3,920","3,520","13,02M","-9,21%"
31/03/2022,"3,500","3,580","3,590","3,390","16,98M","-1,41%"
1/4/2022,"3,470","3,570","3,705","3,440","15,90M","-0,86%"
4/4/2022,"3,920","3,560","3,920","3,550","11,89M","12,97%"
5/4/2022,"3,695","3,845","3,900","3,520","15,31M","-5,74%"
6/4/2022,"3,590","3,600","3,780","3,550","11,92M","-2,84%"
7/4/2022,"3,480","3,600","3,655","3,351","13,26M","-3,06%"
8/4/2022,"3,610","3,510","3,820","3,350","18,06M","3,74%"
11/4/2022,"3,520","3,510","3,685","3,410","13,25M","-2,49%"
12/4/2022,"3,400","3,590","3,620","3,380","13,26M","-3,41%"
13/04/2022,"3,480","3,420","3,510","3,360","13,06M","2,35%"
14/04/2022,"3,200","3,410","3,440","3,170","17,18M","-8,05%"
18/04/2022,"3,050","3,220","3,230","3,020","14,64M","-4,69%"
19/04/2022,"3,290","3,040","3,350","3,000","15,62M","7,87%"
20/04/2022,"3,010","3,270","3,280","3,000","12,21M","-8,51%"
21/04/2022,"2,860","3,070","3,100","2,840","17,63M","-4,98%"
22/04/2022,"2,850","2,920","2,930","2,810","15,21M","-0,35%"
25/04/2022,"2,860","2,785","2,860","2,720","12,05M","0,35%"
26/04/2022,"2,710","2,830","2,850","2,680","10,72M","-5,24%"
27/04/2022,"2,710","2,710","2,890","2,680","9,68M","0,00%"
28/04/2022,"2,860","2,820","2,940","2,630","13,77M","5,54%"
29/04/2022,"2,950","2,960","3,100","2,890","14,41M","3,15%"
2/5/2022,"3,110","2,970","3,130","2,860","14,73M","5,42%"
3/5/2022,"3,150","3,090","3,200","3,080","11,26M","1,29%"
4/5/2022,"3,180","3,100","3,190","2,930","17,47M","0,95%"
5/5/2022,"3,030","3,120","3,130","2,950","11,59M","-4,72%"
6/5/2022,"3,010","2,960","3,015","2,850","16,45M","-0,66%"
9/5/2022,"2,800","2,910","2,910","2,700","17,67M","-6,98%"
10/5/2022,"2,750","2,870","2,960","2,705","20,70M","-1,79%"
11/5/2022,"2,510","2,670","2,670","2,490","32,45M","-8,73%"
12/5/2022,"2,700","2,400","2,870","2,310","37,28M","7,57%"
13/05/2022,"2,820","2,810","2,930","2,790","18,08M","4,44%"
16/05/2022,"2,575","2,780","2,910","2,525","18,80M","-8,69%"
17/05/2022,"2,730","2,610","2,770","2,610","15,56M","6,02%"
18/05/2022,"2,530","2,700","2,745","2,460","19,72M","-7,33%"
19/05/2022,"3,140","2,630","3,680","2,555","110,35M","24,11%"
20/05/2022,"3,210","3,290","3,380","2,920","43,04M","2,23%"
23/05/2022,"2,890","3,130","3,190","2,880","23,07M","-9,97%"
24/05/2022,"2,550","2,830","2,830","2,550","25,67M","-11,76%"
25/05/2022,"2,420","2,580","2,600","2,320","48,64M","-5,10%"
26/05/2022,"2,320","2,500","2,550","2,310","46,08M","-4,13%"
27/05/2022,"2,410","2,440","2,530","2,260","55,18M","3,88%"
31/05/2022,"2,660","2,570","2,900","2,470","92,51M","10,37%"
1/6/2022,"2,610","2,700","2,740","2,460","31,13M","-1,88%"
2/6/2022,"2,630","2,560","2,700","2,535","24,16M","0,77%"
3/6/2022,"2,540","2,560","2,660","2,480","15,90M","-3,42%"
6/6/2022,"2,640","2,660","2,690","2,560","21,89M","3,94%"
7/6/2022,"2,650","2,550","2,680","2,520","26,86M","0,38%"
8/6/2022,"3,060","2,680","3,110","2,660","45,88M","15,47%"
9/6/2022,"2,890","2,925","3,070","2,850","44,72M","-5,56%"
10/6/2022,"2,710","2,770","2,830","2,610","31,62M","-6,23%"
13/06/2022,"2,430","2,560","2,590","2,360","30,49M","-10,33%"
14/06/2022,"2,450","2,480","2,540","2,440","12,39M","0,82%"
15/06/2022,"2,500","2,460","2,550","2,360","29,91M","2,04%"
16/06/2022,"2,350","2,410","2,410","2,290","25,98M","-6,00%"
17/06/2022,"2,330","2,380","2,395","2,285","27,55M","-0,85%"
21/06/2022,"2,730","2,400","2,760","2,395","53,70M","17,17%"
22/06/2022,"2,560","2,610","2,670","2,510","27,94M","-6,23%"
